id,desc,category,title,img
06f2d3a3-45fd-4f4c-bf85-5f85de8299bc,Spurs target Morgan Gibbs-White has not travelled with the Nottingham Forest squad for their pre-season camp in Portugal due to a private matter; Sky Sports News understands the issue is not football or transfer-related; it is expected that he will join up with the squad later this week,Football,Morgan Gibbs-White transfer news: Tottenham target left out of Nottingham Forest squad due to privat,post_images/skysports-morgan-gibbs-white_6892564.jpg
072647bd-fa31-41af-a070-95becd391282,"Man Utd have admired Bryan Mbeumo for some time and feel he is a good fit for Ruben Amorim's system; United and Brentford agreed a package last Friday; Brentford are guaranteed £65m in four instalments, as well as £6m in add-ons; Spurs and Newcastle had showed interest",Football,Bryan Mbeumo joins Man Utd: Brentford forward completes £71m transfer to Premier League rivals,post_images/skysports-bryan-mbeumo-manchester-united_6970588.jpg
17bb16fc-e048-43a0-8aa3-001b8030b216,"Paige Bueckers becomes sixth UConn player to be selected first in WNBA draft; she joins legendary list of Sue Bird (2002), Diana Taurasi (2004), Tina Charles (2010), Maya Moore (2011), Breanna Stewart (2016); 23-year-old capped off college career by leading UConn to 2025 national title",BasketBall,WNBA draft: UConn star Paige Bueckers chosen with No 1 overall pick by Dallas Wings,post_images/skysports-paige-bueckers-uconn_6872729.jpg
1ba0c577-e57a-4a0a-b1ca-1fde16f5b457,Indiana Pacers rallied to beat Oklahoma City Thunder 116-107 in Game 3; they lead NBA Finals 2-1 after Oklahoma levelled the series in Game 2; Pacers have not lost back-to-back games since December; Game 4 in the best-of-seven series is scheduled for Friday in Indianapolis,BasketBall,NBA Finals: Indiana Pacers rally to beat Oklahoma City Thunder 116-107 in Game 3 and claim 2-1 lead,post_images/skysports-nba-tyrese-haliburton_6939769.jpg
1d141039-7d60-4985-bb17-29d8b407a5e4,"Lionel Messi and a heavy security presence were on show as the revamped Club World Cup got under way in the US on Saturday.
Host city side Inter Miami, led by Argentine legend Messi, played out an entertaining goalless draw against Egyptian giants Al Ahly to kick off the tournament.
Miami were thankful to goalkeeper and man of the match Oscar Ustari for making a string of saves, including one from the penalty spot, to preserve a clean sheet.",Football,Heavy security and Messi on show as Club World Cup begins,post_images/1ac850f0-498c-11f0-807f-c59d4fd22e78.jpg.webp
24770ed6-35f4-419d-8a4c-de2a48505767,Rangers face Panathinaikos in Champions League second qualifying round on Tuesday; match is first competitive game under new ownership and new management; head coach Russell Martin has added seven new players this summer,Football,Rangers vs Panathinaikos: How will Russell Martin's new-look side line up for first competitive game,post_images/skysports-russell-martin-rangers_6962050.jpg
2fe51bee-0af5-4bea-b7b6-e96517f0e373,All Big club participate on it and start from today,Football,Fifa club world cup,post_images/istockphoto-1164736873-612x612.jpg
39117ab9-19e4-484c-9c0d-f8f8d00d5ca0,Oklahoma City Thunder beat Indiana Pacers 123-107 in Game 2 in the NBA Finals; they have tied the championship matchup at a game apiece after Pacers stunned Thunder in Game 1 last week,BasketBall,NBA Finals: Oklahoma City Thunder bounce back to beat Indiana Pacers 123-107 in Game 2,post_images/skysports-oklahoma-city-thunder_6937134.jpg
525b26db-7728-4578-a90a-2370dc6eab5a,Italy and Netherlands qualify for Men's T20 World Cup in 2026; Jersey miss out on net run-rate despite eliminating Scotland with shock victory; Italy cling on to qualification spot and will now play in first World Cup; tournament proper set to be held in India and Sri Lanka next year,Cricket,Men's T20 World Cup 2026: Italy reach tournament for first time as Jersey denied despite eliminating,post_images/skysports-mens-t20-world-cup-trophy_6963013.jpg
57c5ba3e-b5cf-41cc-8f8b-83959036d350,"Argentine superstar Lionel Messi has won Major League Soccer's Most Valuable Player award.
The former Barcelona and Paris-St Germain forward helped Inter Miami to a record regular season points tally, before his side were beaten in the first round of the MLS Cup play-offs in November.
The 37-year-old had a league-leading 36 goal contributions, scoring 20 goals and creating 16 assists.",Football,Inter Miami's Messi wins MLS MVP award,post_images/6180f2c0-b3e8-11ef-9e95-3339f02d261e.jpg.webp
65cdeba8-ef6e-43a6-8979-0ef345eeeb52,"The West Indies were dismissed for 143 inside 35 overs, chasing 277 for victory, as Australia wrapped up a 133-run win to move 2-0 up in the three-match Test series; Watch England vs India on Sky Sports Cricket or stream with no contract",Cricket,West Indies vs Australia: Tourists win second Test by 133 runs in Grenada to guarantee series victor,post_images/skysports-australia-cricket_6958946.jpg
696fc334-10ff-45a9-bfc4-5aaa3092b29c,"The Club World Cup will take Inter Miami from start-up to the global stage.

Just five years after its MLS debut, the team co-owned by David Beckham and starring Lionel Messi will have the eyes of the world on it as it kicks off soccer's newest competition with the chance to be crowned world champion.",Football,Can Lionel Messi and Inter Miami really spring a surprise at the Club World Cup?,post_images/CWC_Inter_Miami_Soccer_23626.jpg.avif
6ae028fc-ea70-42f6-8434-236571c2eed4,"Lionel Messi has urged Inter Miami to stay ""united"" as his side's miserable run continued with a 3-0 defeat at home to Orlando City in the MLS.
The loss in the Florida derby was Miami's fifth in seven games in all competitions as they dropped to sixth in the Eastern Conference.
Argentina forward Messi, 37, who is a record eight-time Ballon d'Or winner, had just two shots on target and scuffed a free-kick in a subdued performance.
""Now we'll truly see if we're a team in difficult times, because when everything's going well it's very easy,"" said Messi.",Football,Messi urges Miami to stay 'united' amid miserable run,post_images/dea50710-3484-11f0-a920-b9d1eab66fbe.jpg.webp
755c4105-5d03-4322-a6ac-8857e3fc766b,Scotland's former undisputed world champion Josh Taylor has been forced to retire due to a medical issue; Taylor was the first Briton to become an undisputed champion in the four-belt era.,Boxing,Josh Taylor: Former undisputed super-lightweight world champion forced to retire from boxing,post_images/skysports-josh-taylor-boxing_6178978.jpg
7841724e-3651-47fc-b922-7ddfd6afcb89,"Plus: Newcastle are ready to offer Tino Livramento a new deal; Aston Villa are open to improving the contract of Morgan Rogers; Manchester United are braced to take big financial hits on Ruben Amorim's £300 million ""bomb squad""",Football,Emiliano Martinez: Manchester United fail in loan bid for Aston Villa goalkeeper - Paper Talk,post_images/skysports-paper-talk-brand-refresh_6852897.jpg
